Date,Month_Name,Month_Num,Customer_ID,Customer Name,Visit Type,Common_Value,Configuration,Location,Tower,Project Name,Parent Source,Lead Mode,Sourcing Manager,Closing Manger,Ethnicity,Age Group,Property Type,Married Status,Annual Income,No. of Children,Customer_ID2,Budget for property upto,Home owner,Purpose,Potential
10/7/2025,Oct,10,1226,jayesh shankar,2nd Time,1,{1bhk},Andheri,A,Crescent,Direct,Direct,Vaibhav Arora,Hansh Srivastava,Hindu,25-35,Under Construction,Yes,75L-1Cr,3,1226,"₹ 10,000,000.00",1st Time,Self use,0
11/16/2025,Nov,11,1227,lakshay subramanian,Fresh,1,{2bhk},Juhu,A,Woods,Direct,Direct,Mehul Gara,Indranil Rau,Jain,36-45,Ready To Move,No,25L-50L,4,1227,"₹ 15,000,000.00",1st Time,Investment,0
5/25/2025,May,5,1228,VEDIKA DEVAN,2nd Time,1,{2bhk},Juhu,A,Woods,Channel Partner,UrbanRise Partners,Himmat Solanki,Indranil Rau,Jain,25-35,Under Construction,Yes,25L-50L,3,1228,"₹ 15,000,000.00",1st Time,Self use,0
12/27/2025,Dec,12,1229,TARAN SETH,2nd Time,1,{2bhk},Goregaon,B,Triangle,Channel Partner,Orion Developments,Yakshit Balan,Vardaniya Thakur,Gujarati,36-45,Ready To Move,Yes,25L-50L,3,1229,"₹ 15,000,000.00",1st Time,Investment,1
4/24/2025,Apr,4,1230,ARADHYA SEM,Fresh,1,{1bhk},Chandivali,C,Triangle,Direct,Direct,Neysa Mallick,Divyansh Ramachandran,Christian,25-35,Under Construction,Yes,0-25L,3,1230,"₹ 10,000,000.00",1st Time,Self use,0
12/24/2025,Dec,12,1231,DHANUSH DEVI,Fresh,1,{1bhk},Santa Cruz,E,Vallia,Direct,Direct,Samar Comar,Hansh Srivastava,Jain,36-45,Under Construction,Yes,1Cr>,2,1231,"₹ 10,000,000.00",1st Time,Self use,0
5/21/2025,May,5,1232,shray chaudhry,Fresh,1,{2bhk},Chembur,C,Crescent,Direct,Direct,Fateh Handa,Hansh Srivastava,Christian,25-35,Under Construction,Yes,50L-75L,1,1232,"₹ 15,000,000.00",2nd Time,Investment,0
10/25/2025,Oct,10,1233,alisha kari,2nd Time,1,{2bhk},Kandivali,C,Crescent,Direct,Direct,Shray Rajagopalan,Vritika Bhakta,Jain,36-45,Under Construction,No,25L-50L,4,1233,"₹ 15,000,000.00",1st Time,Investment,0
2/22/2025,Feb,2,1234,yuvraj  balay,Fresh,1,{1bhk},Mahim,C,Crescent,Channel Partner,Equinox Realty,Ahana Bhardwaj,Vritika Bhakta,Hindu,46-60,Under Construction,No,0-25L,3,1234,"₹ 10,000,000.00",1st Time,Investment,0
4/10/2025,Apr,4,1235,RITVIK TOOR,Fresh,1,{1bhk},Dadar,B,Crescent,Channel Partner,Infinity Realty,Adira Tank,Vritika Bhakta,Marwardi,36-45,Under Construction,Yes,50L-75L,2,1235,"₹ 10,000,000.00",1st Time,Investment,0
12/23/2025,Dec,12,1236,LAKSHAY MALHOTRA,2nd Time,1,{3bhk},Kandivali,C,Triangle,Channel Partner,Infinity Realty,Sana Rege,Divit Sastry,Hindu,46-60,Under Construction,No,50L-75L,2,1236,"₹ 20,000,000.00",2nd Time,Self use,1
10/31/2025,Oct,10,1237,HANSH WASON,Fresh,1,{3bhk},Kandivali,D,Crescent,Channel Partner,Prime Ventures,Ayesha Date,Indranil Rau,Hindu,46-60,Ready To Move,Yes,0-25L,4,1237,"₹ 20,000,000.00",1st Time,Self use,0
10/16/2025,Oct,10,1238,manjari das,Fresh,1,{4bhk},Powai,C,Crescent,Channel Partner,FirstChoice Estates,Sana Sarin,Advik Chandra,Jain,36-45,Under Construction,Yes,0-25L,3,1238,"₹ 15,000,000.00",2nd Time,Investment,1
4/26/2025,Apr,4,1239,VRITIKA KARA,2nd Time,1,{2bhk},Kandivali,B,Vasudha,Channel Partner,Summit Realty,Jhanvi Madan,Vritika Bhakta,Punjabi,36-45,Under Construction,Yes,50L-75L,2,1239,"₹ 15,000,000.00",2nd Time,Self use,0
11/13/2025,Nov,11,1240,AMIRA RAJAGOPAL,Fresh,1,{2bhk},Malad,B,Triangle,Channel Partner,Phoenix Realty,Fateh Handa,Divit Sastry,Gujarati,46-60,Under Construction,Yes,50L-75L,4,1240,"₹ 15,000,000.00",2nd Time,Investment,0
11/5/2025,Nov,11,1241,bhamini cheema,Fresh,1,{2bhk},Kandivali,B,Triangle,Channel Partner,UrbanRise Partners,Sana Rege,Hansh Srivastava,Hindu,46-60,Ready To Move,Yes,25L-50L,4,1241,"₹ 15,000,000.00",1st Time,Self use,0
5/29/2025,May,5,1242,mahika gokhale,Fresh,1,{2bhk},Malad,E,Crescent,Channel Partner,Prime Ventures,Shanaya Shetty,Vritika Bhakta,Jain,25-35,Under Construction,No,50L-75L,2,1242,"₹ 15,000,000.00",1st Time,Investment,1
4/24/2025,Apr,4,1243,seher ganguly,2nd Time,1,{3bhk},Worli,D,Woods,Channel Partner,Aurora Builders,Alia Dube,Vardaniya Thakur,Jain,25-35,Ready To Move,Yes,0-25L,2,1243,"₹ 20,000,000.00",2nd Time,Investment,1
12/19/2025,Dec,12,1244,EVA SEHGAL,Fresh,1,{1bhk},Kandivali,B,Crescent,Direct,Direct,Adira Tank,Divit Sastry,Jain,36-45,Under Construction,No,25L-50L,4,1244,"₹ 10,000,000.00",2nd Time,Self use,1
11/4/2025,Nov,11,1245,chirag gola,Fresh,1,{2bhk},Kandivali,A,Crescent,Channel Partner,Vertex Land,Tushar Ray,Vritika Bhakta,Jain,36-45,Ready To Move,Yes,25L-50L,2,1245,"₹ 15,000,000.00",1st Time,Self use,0
7/20/2025,Jul,7,1246,navya jain,Fresh,1,{1bhk},Kandivali,D,Vasudha,Channel Partner,Infinity Realty,Damini Din,Vritika Bhakta,Jain,36-45,Under Construction,No,25L-50L,4,1246,"₹ 10,000,000.00",1st Time,Investment,0
10/11/2025,Oct,10,1247,LAKSHIT GULATI,Fresh,1,{2bhk},Kandivali,C,Woods,Direct,Direct,Adira Tank,Hansh Srivastava,Marwardi,46-60,Ready To Move,Yes,0-25L,2,1247,"₹ 15,000,000.00",1st Time,Self use,0
10/12/2025,Oct,10,1248,anahita krish,Fresh,1,{2bhk},Bhandup,A,Crescent,Channel Partner,NovaHomes,Shray Sunder,Indranil Rau,Marwardi,46-60,Under Construction,Yes,50L-75L,4,1248,"₹ 15,000,000.00",2nd Time,Self use,0
10/5/2025,Oct,10,1249,kiara dass,2nd Time,1,{4bhk},Kandivali,C,Woods,Channel Partner,Prime Point Realty,Alia Dube,Vardaniya Thakur,Hindu,25-35,Ready To Move,Yes,25L-50L,1,1249,"₹ 15,000,000.00",2nd Time,Investment,1
5/28/2025,May,5,1250,hansh yadav,2nd Time,1,{1bhk},Khar,D,Vasudha,Direct,Direct,Adira Tank,Advik Chandra,Gujarati,25-35,Ready To Move,No,25L-50L,3,1250,"₹ 10,000,000.00",1st Time,Self use,0
9/26/2025,Sep,9,1251,OJAS KEER,Fresh,1,{1bhk},Vikhroli,E,Triangle,Channel Partner,NextGen Estates,Tiya Gour,Divit Sastry,Jain,36-45,Under Construction,Yes,25L-50L,4,1251,"₹ 10,000,000.00",2nd Time,Self use,0
2/13/2025,Feb,2,1252,MIRAAN GADE,Fresh,1,{1bhk},Chembur,A,Crescent,Direct,Direct,Vaibhav Arora,Advik Chandra,Hindu,25-35,Under Construction,Yes,50L-75L,2,1252,"₹ 10,000,000.00",2nd Time,Self use,1
9/17/2025,Sep,9,1253,hrishita dubey,2nd Time,1,{2bhk},Goregaon,D,Vasudha,Channel Partner,Phoenix Realty,Ayesha Date,Indranil Rau,Marwardi,36-45,Under Construction,Yes,50L-75L,4,1253,"₹ 15,000,000.00",1st Time,Self use,0
8/15/2025,Aug,8,1254,charvi chatterjee,2nd Time,1,{2bhk},Marine Lines,A,Triangle,Channel Partner,Infinity Realty,Ayesha Date,Hansh Srivastava,Marwardi,25-35,Under Construction,Yes,50L-75L,2,1254,"₹ 15,000,000.00",2nd Time,Investment,0
11/9/2025,Nov,11,1255,URVI TRIPATHI,Fresh,1,{2bhk},Nariman Point,D,Crescent,Channel Partner,Pioneer Landmarks,Vidur Srinivasan,Hansh Srivastava,Christian,25-35,Under Construction,No,50L-75L,1,1255,"₹ 15,000,000.00",1st Time,Self use,0
12/1/2025,Dec,12,1256,PRIYANSH KARAN,2nd Time,1,{1bhk},Kandivali,A,Triangle,Direct,Direct,Damini Din,Divyansh Ramachandran,Jain,36-45,Ready To Move,Yes,0-25L,3,1256,"₹ 10,000,000.00",1st Time,Investment,0
11/9/2025,Nov,11,1257,umang roy,Fresh,1,{2bhk},Bhandup,C,Crescent,Channel Partner,PrimeAxis Developments,Ahana Bhardwaj,Vritika Bhakta,Christian,36-45,Under Construction,Yes,1Cr>,4,1257,"₹ 15,000,000.00",1st Time,Investment,0
10/7/2025,Oct,10,1258,SAMIHA WARRIOR,2nd Time,1,{2bhk},Malad,E,Woods,Direct,Direct,Neysa Mallick,Hansh Srivastava,Gujarati,25-35,Ready To Move,Yes,25L-50L,2,1258,"₹ 15,000,000.00",1st Time,Investment,1
11/23/2025,Nov,11,1259,YAKSHIT RAVAL,Fresh,1,{1bhk},Kandivali,B,Crescent,Channel Partner,Infinity Realty,Adira Tank,Hansh Srivastava,Jain,25-35,Ready To Move,Yes,0-25L,1,1259,"₹ 10,000,000.00",2nd Time,Self use,0
6/30/2025,Jun,6,1260,SAKSHAM VOHRA,Fresh,1,{2bhk},Churchgate,B,Woods,Direct,Direct,Fateh Handa,Urvi Wason,Hindu,36-45,Under Construction,Yes,25L-50L,2,1260,"₹ 15,000,000.00",1st Time,Investment,1
7/6/2025,Jul,7,1261,AARNA AHUJA,2nd Time,1,{2bhk},Vashi,B,Woods,Channel Partner,Pacific Land,Sana Rege,Vritika Bhakta,Hindu,46-60,Under Construction,No,0-25L,3,1261,"₹ 15,000,000.00",2nd Time,Self use,1
4/19/2025,Apr,4,1262,hunar taneja,2nd Time,1,{2bhk},Bhandup,A,Woods,Channel Partner,Evergreen Holdings,Tiya Gour,Advik Chandra,Marwardi,36-45,Under Construction,Yes,50L-75L,3,1262,"₹ 15,000,000.00",2nd Time,Self use,0
12/1/2025,Nov,11,1263,ROHAN KURIAN,Fresh,1,{2bhk},Malad,E,Triangle,Channel Partner,TrueSpace Realty,Tushar Ray,Hansh Srivastava,Jain,61-90,Under Construction,Yes,25L-50L,2,1263,"₹ 15,000,000.00",1st Time,Investment,0
2/15/2025,Feb,2,1264,INDRANIL GALA,2nd Time,1,{1bhk},Malad,B,Woods,Channel Partner,NextGen Estates,Sana Rege,Advik Chandra,Gujarati,25-35,Under Construction,No,75L-1Cr,2,1264,"₹ 10,000,000.00",1st Time,Self use,0
11/17/2025,Nov,11,1265,UTHKARSH JHAVERI,Fresh,1,{1bhk},Malad,B,Vasudha,Channel Partner,VistaLand Ventures,Umang Khare,Hansh Srivastava,Jain,25-35,Under Construction,Yes,50L-75L,1,1265,"₹ 10,000,000.00",1st Time,Self use,0
11/15/2025,Nov,11,1266,SIYA RAO,2nd Time,1,{2bhk},Kandivali,E,Vasudha,Channel Partner,Sterling Land,Sana Rege,Hansh Srivastava,Marwardi,36-45,Under Construction,No,50L-75L,2,1266,"₹ 15,000,000.00",2nd Time,Self use,0
7/1/2025,Jul,7,1267,alisha grover,Fresh,1,{1bhk},Kandivali,B,Crescent,Channel Partner,Element Real Estate,Jhanvi Madan,Vritika Bhakta,Hindu,36-45,Under Construction,No,25L-50L,2,1267,"₹ 10,000,000.00",2nd Time,Self use,1
7/31/2025,Jul,7,1268,HUNAR DUBEY,Fresh,1,{2bhk},Bandra,B,Vasudha,Channel Partner,Zenith Estates,Jhanvi Madan,Urvi Wason,Jain,46-60,Under Construction,No,75L-1Cr,4,1268,"₹ 15,000,000.00",2nd Time,Self use,0
9/6/2025,Sep,9,1269,INDRAJIT HEGDE,Fresh,1,{2bhk},Vikhroli,B,Crescent,Direct,Direct,Shanaya Shetty,Hansh Srivastava,Marwardi,36-45,Under Construction,Yes,0-25L,2,1269,"₹ 15,000,000.00",1st Time,Self use,1
10/2/2025,Oct,10,1270,SHAYAK GOKHALE,Fresh,1,{3bhk},Kandivali,C,Woods,Channel Partner,Infinity Realty,Tushar Ray,Indranil Rau,Jain,36-45,Under Construction,Yes,75L-1Cr,4,1270,"₹ 20,000,000.00",1st Time,Self use,1
4/28/2025,Apr,4,1271,CHIRAG MANDA,2nd Time,1,{2bhk},Vikhroli,C,Crescent,Channel Partner,NextGen Estates,Damini Din,Urvi Wason,Hindu,25-35,Under Construction,Yes,75L-1Cr,0,1271,"₹ 15,000,000.00",2nd Time,Self use,0
7/1/2025,Jul,7,1272,RATI GARDE,Fresh,1,{1bhk},Borivali,C,Woods,Channel Partner,CityScape Realty,Samar Comar,Divit Sastry,Jain,46-60,Under Construction,Yes,25L-50L,4,1272,"₹ 10,000,000.00",2nd Time,Self use,0
11/9/2025,Nov,11,1273,INDRANIL DEEP,2nd Time,1,{2bhk},Andheri,E,Vallia,Channel Partner,Majestic Homes,Yakshit Balan,Indranil Rau,Christian,25-35,Under Construction,Yes,1Cr>,3,1273,"₹ 15,000,000.00",1st Time,Investment,0
7/12/2025,Jul,7,1274,samarth wason,2nd Time,1,{2bhk},Goregaon,C,Triangle,Channel Partner,Infinity Realty,Fateh Handa,Shray Amble,Christian,25-35,Ready To Move,Yes,1Cr>,1,1274,"₹ 15,000,000.00",2nd Time,Self use,0
7/13/2025,Jul,7,1275,kiaan buch,2nd Time,1,{1bhk},Kandivali,B,Crescent,Direct,Direct,Alia Dube,Advik Chandra,Jain,36-45,Under Construction,Yes,0-25L,2,1275,"₹ 10,000,000.00",2nd Time,Self use,0
2/1/2025,Feb,2,1276,AMIRA GOLE,2nd Time,1,{2bhk},Malad,A,Vallia,Channel Partner,Genesis Estates,Alia Dube,Indranil Rau,Gujarati,25-35,Under Construction,Yes,25L-50L,3,1276,"₹ 15,000,000.00",1st Time,Self use,1
8/26/2025,Aug,8,1277,veer mall,Fresh,1,{2bhk},Kandivali,A,Crescent,Channel Partner,OmniLand Partners,Tushar Ray,Hansh Srivastava,Hindu,36-45,Under Construction,Yes,25L-50L,3,1277,"₹ 15,000,000.00",1st Time,Self use,1
5/13/2025,May,5,1278,nirvaan lalla,Fresh,1,{2bhk},Goregaon,A,Crescent,Direct,Direct,Tiya Gour,Indranil Rau,Marwardi,36-45,Under Construction,No,25L-50L,2,1278,"₹ 15,000,000.00",2nd Time,Self use,0
7/24/2025,Jul,7,1279,INDRAJIT SANKARAN,Fresh,1,{2bhk},Marine Lines,D,Crescent,Channel Partner,Infinity Realty,Adira Tank,Vardaniya Thakur,Jain,46-60,Under Construction,Yes,25L-50L,2,1279,"₹ 15,000,000.00",2nd Time,Investment,0
11/3/2025,Nov,11,1280,BHAVIN GULATI,Fresh,1,{1bhk},Chandivali,B,Crescent,Direct,Direct,Jhanvi Madan,Vritika Bhakta,Gujarati,36-45,Under Construction,No,0-25L,4,1280,"₹ 10,000,000.00",1st Time,Self use,0
8/8/2025,Aug,8,1281,ISHITA RAMACHANDRAN,2nd Time,1,{1bhk},Vashi,C,Triangle,Direct,Direct,Damini Din,Urvi Wason,Hindu,61-90,Under Construction,No,50L-75L,2,1281,"₹ 10,000,000.00",2nd Time,Self use,0
4/22/2025,Apr,4,1282,SAHIL DALAL,Fresh,1,{2bhk},Kandivali,B,Vallia,Direct,Direct,Yakshit Balan,Shray Amble,Hindu,36-45,Ready To Move,Yes,25L-50L,2,1282,"₹ 15,000,000.00",1st Time,Self use,1
3/26/2025,Mar,3,1283,ishita kalita,2nd Time,1,{2bhk},Dadar,B,Vallia,Channel Partner,Infinity Realty,Ayesha Date,Vritika Bhakta,Gujarati,46-60,Under Construction,Yes,50L-75L,2,1283,"₹ 15,000,000.00",2nd Time,Self use,0
10/5/2025,Oct,10,1284,jayan uppal,Fresh,1,{2bhk},Versova,A,Woods,Channel Partner,NextGen Estates,Fateh Handa,Urvi Wason,Jain,61-90,Ready To Move,Yes,50L-75L,2,1284,"₹ 15,000,000.00",2nd Time,Investment,0
11/21/2025,Nov,11,1285,badal singh,Fresh,1,{1bhk},Goregaon,B,Triangle,Direct,Direct,Shray Rajagopalan,Urvi Wason,Gujarati,61-90,Ready To Move,Yes,25L-50L,4,1285,"₹ 10,000,000.00",2nd Time,Investment,0
11/15/2025,Nov,11,1286,ANVI KANDA,2nd Time,1,{2bhk},Chunabhatti,A,Triangle,Direct,Direct,Umang Khare,Advik Chandra,Gujarati,46-60,Under Construction,Yes,25L-50L,4,1286,"₹ 15,000,000.00",2nd Time,Self use,0
11/9/2025,Nov,11,1287,ritvik reddy,Fresh,1,{2bhk},Vile Parle,D,Vasudha,Channel Partner,Sunset Holdings,Sana Sarin,Shray Amble,Gujarati,61-90,Under Construction,Yes,75L-1Cr,3,1287,"₹ 15,000,000.00",1st Time,Self use,0
11/13/2025,Nov,11,1288,HRIDAAN CHAWLA,2nd Time,1,{2bhk},Kandivali,C,Crescent,Channel Partner,NovaHomes,Damini Din,Ishaan Balay,Marwardi,61-90,Ready To Move,No,0-25L,4,1288,"₹ 15,000,000.00",1st Time,Self use,0
10/14/2025,Oct,10,1289,CHARVI GUHA,Fresh,1,{1bhk},Kandivali,C,Triangle,Channel Partner,Skyline Builders,Yakshit Balan,Indranil Rau,Hindu,36-45,Ready To Move,Yes,25L-50L,3,1289,"₹ 10,000,000.00",1st Time,Self use,0
3/25/2025,Mar,3,1290,shray kuruvilla,Fresh,1,{2bhk},Kandivali,A,Crescent,Channel Partner,Horizon Developments,Vaibhav Arora,Vritika Bhakta,Marwardi,61-90,Under Construction,Yes,25L-50L,4,1290,"₹ 15,000,000.00",2nd Time,Investment,0
10/8/2025,Oct,10,1291,JAYESH VENKATARAMAN,2nd Time,1,{2bhk},Kandivali,B,Crescent,Channel Partner,UrbanRise Partners,Damini Din,Shray Amble,Gujarati,46-60,Under Construction,Yes,0-25L,4,1291,"₹ 15,000,000.00",1st Time,Self use,0
6/7/2025,Jun,6,1292,baiju grover,2nd Time,1,{1bhk},Malad,E,Crescent,Channel Partner,NewWave Estates,Sana Sarin,Hansh Srivastava,Gujarati,36-45,Under Construction,No,1Cr>,3,1292,"₹ 10,000,000.00",1st Time,Self use,0
8/15/2025,Aug,8,1293,JAYESH BHATTI,2nd Time,1,{1bhk},Goregaon,D,Woods,Channel Partner,Genesis Estates,Ahana Bhardwaj,Vritika Bhakta,Jain,25-35,Under Construction,Yes,25L-50L,3,1293,"₹ 10,000,000.00",1st Time,Investment,0
10/18/2025,Oct,10,1294,neysa contractor,Fresh,1,{2bhk},Kandivali,C,Crescent,Channel Partner,Skyline Builders,Damini Din,Vritika Bhakta,Jain,36-45,Under Construction,Yes,25L-50L,4,1294,"₹ 15,000,000.00",1st Time,Self use,0
7/30/2025,Jul,7,1295,NIRVAAN GOEL,Fresh,1,{1bhk},Chunabhatti,B,Crescent,Channel Partner,Pacific Land,Damini Din,Vritika Bhakta,Christian,36-45,Under Construction,Yes,25L-50L,2,1295,"₹ 10,000,000.00",1st Time,Self use,0
10/4/2025,Oct,10,1296,AZAD RAMANATHAN,Fresh,1,{2bhk},Borivali,D,Woods,Channel Partner,Aspire Realty,Jhanvi Madan,Vritika Bhakta,Marwardi,25-35,Under Construction,Yes,25L-50L,2,1296,"₹ 15,000,000.00",1st Time,Investment,0
11/12/2025,Nov,11,1297,darshit thaman,2nd Time,1,{3bhk},Bandra,C,Crescent,Channel Partner,UrbanRise Partners,Mehul Gara,Ishaan Balay,Gujarati,25-35,Ready To Move,Yes,50L-75L,1,1297,"₹ 20,000,000.00",1st Time,Self use,0
11/13/2025,Nov,11,1298,DAMINI CHOUDHURY,Fresh,1,{1bhk},Kandivali,C,Woods,Direct,Direct,Ahana Bhardwaj,Divit Sastry,Hindu,61-90,Under Construction,Yes,25L-50L,2,1298,"₹ 10,000,000.00",1st Time,Self use,1
9/12/2025,Sep,9,1299,nitara krishnan,2nd Time,1,{3bhk},Prabhadevi,E,Crescent,Channel Partner,Unity Realty,Tiya Gour,Urvi Wason,Jain,25-35,Under Construction,Yes,25L-50L,2,1299,"₹ 20,000,000.00",1st Time,Self use,1
12/1/2025,Dec,12,1300,MADHAV CHERIAN,Fresh,1,{2bhk},Nahur,E,Crescent,Channel Partner,BrightStar Realty,Mehul Rajagopalan,Hansh Srivastava,Marwardi,25-35,Ready To Move,Yes,0-25L,3,1300,"₹ 15,000,000.00",1st Time,Investment,0
2/10/2025,Feb,2,1301,AAINA KRISHNAMURTHY,2nd Time,1,{3bhk},Kandivali,E,Vallia,Channel Partner,Apex Realty,Mehul Rajagopalan,Divyansh Ramachandran,Gujarati,36-45,Ready To Move,Yes,50L-75L,2,1301,"₹ 20,000,000.00",1st Time,Investment,0
1/28/2025,Jan,1,1302,nitara sridhar,Fresh,1,{3bhk},Kandivali,B,Crescent,Channel Partner,Infinity Realty,Umang Khare,Urvi Wason,Jain,46-60,Under Construction,No,25L-50L,4,1302,"₹ 20,000,000.00",2nd Time,Investment,0
5/25/2025,May,5,1303,AARYAHI MANGAL,Fresh,1,{4bhk},Kandivali,A,Crescent,Channel Partner,Infinity Realty,Neysa Mallick,Divyansh Ramachandran,Hindu,46-60,Ready To Move,Yes,0-25L,3,1303,"₹ 15,000,000.00",1st Time,Investment,0
10/20/2025,Oct,10,1304,keya sidhu,Fresh,1,{2bhk},Kandivali,C,Triangle,Channel Partner,Aspire Realty,Jhanvi Madan,Vardaniya Thakur,Jain,46-60,Under Construction,Yes,25L-50L,4,1304,"₹ 15,000,000.00",2nd Time,Self use,1
12/6/2025,Dec,12,1305,AKARSH TARA,Fresh,1,{3bhk},Kandivali,C,Vasudha,Direct,Direct,Ayesha Date,Advik Chandra,Gujarati,36-45,Under Construction,No,75L-1Cr,2,1305,"₹ 20,000,000.00",2nd Time,Self use,0
12/16/2025,Dec,12,1306,hiran goyal,Fresh,1,{2bhk},Sewri,A,Triangle,Direct,Direct,Navya Kashyap,Ishaan Balay,Jain,36-45,Ready To Move,No,1Cr>,4,1306,"₹ 15,000,000.00",1st Time,Self use,0
12/30/2025,Dec,12,1307,LAGAN BAVA,Fresh,1,{2bhk},Malad,E,Vallia,Channel Partner,Infinity Realty,Fateh Handa,Hansh Srivastava,Gujarati,36-45,Ready To Move,Yes,25L-50L,3,1307,"₹ 15,000,000.00",1st Time,Self use,0
12/10/2025,Dec,12,1308,yashvi chaudry,Fresh,1,{1bhk},Mahim,B,Triangle,Channel Partner,TrueSpace Realty,Sana Sarin,Shray Amble,Hindu,46-60,Under Construction,Yes,50L-75L,4,1308,"₹ 10,000,000.00",2nd Time,Self use,0
6/23/2025,Jun,6,1309,YUVRAJ  RAMA,2nd Time,1,{1bhk},Kandivali,B,Crescent,Channel Partner,Frontier Homes,Umang Khare,Advik Chandra,Christian,36-45,Under Construction,No,50L-75L,3,1309,"₹ 10,000,000.00",2nd Time,Self use,0
4/2/2025,Apr,4,1310,SHAMIK TARA,Fresh,1,{1bhk},Malad,E,Triangle,Channel Partner,Aspire Realty,Damini Din,Vritika Bhakta,Gujarati,46-60,Under Construction,Yes,25L-50L,2,1310,"₹ 10,000,000.00",2nd Time,Investment,0
11/8/2025,Nov,11,1311,aarna hayre,Fresh,1,{4bhk},Borivali,A,Vasudha,Channel Partner,Skyline Builders,Tiya Gour,Indranil Rau,Gujarati,25-35,Ready To Move,No,50L-75L,1,1311,"₹ 15,000,000.00",1st Time,Investment,0
7/23/2025,Jul,7,1312,NAYANTARA MANDER,2nd Time,1,{2bhk},Ghatkopar,B,Crescent,Channel Partner,Prime Ventures,Adira Tank,Vritika Bhakta,Gujarati,36-45,Under Construction,Yes,25L-50L,3,1312,"₹ 15,000,000.00",1st Time,Investment,0
5/22/2025,May,5,1313,SARA BHARDWAJ,Fresh,1,{1bhk},Goregaon,A,Crescent,Channel Partner,Skyline Builders,Alia Dube,Vritika Bhakta,Marwardi,25-35,Under Construction,No,25L-50L,3,1313,"₹ 10,000,000.00",2nd Time,Self use,0
4/27/2025,Apr,4,1314,KIMAYA WALLA,2nd Time,1,{1bhk},Matunga,D,Crescent,Direct,Direct,Mehul Rajagopalan,Urvi Wason,Marwardi,25-35,Ready To Move,No,50L-75L,0,1314,"₹ 10,000,000.00",2nd Time,Investment,0
2/6/2025,Feb,2,1315,shalv wali,2nd Time,1,{2bhk},Kandivali,C,Vasudha,Channel Partner,PrimeAxis Developments,Ayesha Date,Indranil Rau,Gujarati,25-35,Under Construction,Yes,25L-50L,3,1315,"₹ 15,000,000.00",2nd Time,Self use,0
12/15/2025,Dec,12,1316,PRIYANSH DUTTA,Fresh,1,{1bhk},Kandivali,A,Crescent,Channel Partner,Orion Developments,Jhanvi Madan,Vritika Bhakta,Jain,36-45,Under Construction,Yes,50L-75L,4,1316,"₹ 10,000,000.00",1st Time,Investment,0
11/25/2025,Nov,11,1317,MIRAAN CHOKSHI,Fresh,1,{2bhk},Dadar,E,Vasudha,Channel Partner,UrbanRise Partners,Vaibhav Arora,Shray Amble,Jain,25-35,Under Construction,No,0-25L,2,1317,"₹ 15,000,000.00",1st Time,Self use,1
5/3/2025,May,5,1318,VIDUR VIRK,2nd Time,1,{2bhk},Kandivali,B,Triangle,Channel Partner,Skyline Builders,Sana Rege,Hansh Srivastava,Hindu,25-35,Ready To Move,Yes,50L-75L,1,1318,"₹ 15,000,000.00",1st Time,Self use,0
10/8/2025,Oct,10,1319,RASHA BIR,2nd Time,1,{1bhk},Kandivali,A,Vallia,Channel Partner,Evolve Homes,Sana Sarin,Vritika Bhakta,Jain,36-45,Ready To Move,Yes,75L-1Cr,4,1319,"₹ 10,000,000.00",2nd Time,Investment,0
5/11/2025,May,5,1320,elakshi dixit,Fresh,1,{2bhk},Kandivali,E,Vasudha,Channel Partner,Skyline Builders,Shray Rajagopalan,Indranil Rau,Punjabi,25-35,Under Construction,Yes,25L-50L,0,1320,"₹ 15,000,000.00",1st Time,Self use,0
11/28/2025,Nov,11,1321,URVI CHAUDHURI,Fresh,1,{1bhk},Kandivali,B,Woods,Channel Partner,NextGen Estates,Samar Comar,Advik Chandra,Punjabi,25-35,Ready To Move,Yes,25L-50L,0,1321,"₹ 10,000,000.00",2nd Time,Self use,0
8/19/2025,Aug,8,1322,ivan jain,Fresh,1,{1bhk},Kandivali,B,Crescent,Channel Partner,Apex Realty,Fateh Handa,Vritika Bhakta,Hindu,36-45,Under Construction,Yes,75L-1Cr,3,1322,"₹ 10,000,000.00",1st Time,Self use,0
11/1/2025,Nov,11,1323,kartik ganesan,Fresh,1,{2bhk},Malad,E,Triangle,Channel Partner,OmniLand Partners,Vidur Srinivasan,Indranil Rau,Gujarati,36-45,Under Construction,Yes,50L-75L,4,1323,"₹ 15,000,000.00",1st Time,Self use,0
7/3/2025,Jul,7,1324,kiaan dhingra,2nd Time,1,{3bhk},Malad,D,Triangle,Direct,Direct,Adira Tank,Divit Sastry,Hindu,36-45,Under Construction,Yes,0-25L,4,1324,"₹ 20,000,000.00",1st Time,Investment,1
11/12/2025,Nov,11,1325,YAKSHIT DATTA,Fresh,1,{2bhk},Kandivali,E,Triangle,Channel Partner,Skyline Builders,Fateh Handa,Divit Sastry,Jain,36-45,Under Construction,Yes,25L-50L,3,1325,"₹ 15,000,000.00",1st Time,Self use,0
11/26/2025,Nov,11,1326,keya joshi,Fresh,1,{2bhk},Malad,D,Woods,Channel Partner,Infinity Realty,Sana Sarin,Hansh Srivastava,Christian,36-45,Under Construction,Yes,0-25L,4,1326,"₹ 15,000,000.00",1st Time,Self use,0
